"","date","dji"
"841",1899-09-27,72.64
"842",1899-09-28,72.87
"843",1899-10-02,70.95
"844",1899-10-03,70.97
"845",1899-10-04,71.73
"846",1899-10-05,72.03
"847",1899-10-06,72.3
"848",1899-10-09,72.67
"849",1899-10-10,73.47
"850",1899-10-11,73
"851",1899-10-12,72.45
"852",1899-10-13,71.81
"853",1899-10-16,72.47
"854",1899-10-17,72.22
"855",1899-10-18,72.93
"856",1899-10-19,72.86
"857",1899-10-20,73.11
"858",1899-10-23,74.61
"859",1899-10-24,74.31
"860",1899-10-25,74.41
"861",1899-10-26,74.52
"862",1899-10-27,74.42
"863",1899-10-30,74.37
"864",1899-10-31,74.97
"865",1899-11-01,75.17
"866",1899-11-02,75.72
"867",1899-11-03,75.34
"868",1899-11-06,75.13
"869",1899-11-08,75.13
"870",1899-11-09,74.38
"871",1899-11-10,73.67
"872",1899-11-13,74.08
"873",1899-11-14,74.16
"874",1899-11-15,74.67
"875",1899-11-16,75.48
"876",1899-11-17,75.8
"877",1899-11-20,75.63
"878",1899-11-21,75.05
"879",1899-11-22,75.2
"880",1899-11-23,75.5
"881",1899-11-24,75.8
"882",1899-11-27,75.69
"883",1899-11-28,75.48
"884",1899-11-29,75.55
"885",1899-12-01,75.47
"886",1899-12-04,74.26
"887",1899-12-05,73.57
"888",1899-12-06,73.53
"889",1899-12-07,73.03
"890",1899-12-08,70.27
"891",1899-12-11,67.43
"892",1899-12-12,67.54
"893",1899-12-13,64.03
"894",1899-12-14,65.26
"895",1899-12-15,66.21
"896",1899-12-18,58.27
"897",1899-12-19,61.02
"898",1899-12-20,61.19
"899",1899-12-21,59.97
"900",1899-12-22,58.69
"901",1899-12-26,62
"902",1899-12-27,64.47
"903",1899-12-28,64.39
"904",1899-12-29,65.73
"905",1900-01-02,68.13
"906",1900-01-03,66.61
"907",1900-01-04,67.15
"908",1900-01-05,66.71
"909",1900-01-08,66.41
"910",1900-01-09,64.99
"911",1900-01-10,64.14
"912",1900-01-11,63.27
"913",1900-01-12,64.93
"914",1900-01-15,64.22
"915",1900-01-16,64.29
"916",1900-01-17,64.56
"917",1900-01-18,64.28
"918",1900-01-19,65.29
"919",1900-01-22,65.37
"920",1900-01-23,64.38
"921",1900-01-24,64.72
"922",1900-01-25,65.05
"923",1900-01-26,64.23
"924",1900-01-29,64.45
"925",1900-01-30,66.06
"926",1900-01-31,66.13
"927",1900-02-01,67.34
"928",1900-02-02,67.86
"929",1900-02-05,68.36
"930",1900-02-06,68.03
"931",1900-02-07,67.94
"932",1900-02-08,67.46
"933",1900-02-09,66.86
"934",1900-02-13,67.39
"935",1900-02-14,66.9
"936",1900-02-15,67.08
"937",1900-02-16,66.4
"938",1900-02-19,66.25
"939",1900-02-20,66.16
"940",1900-02-21,65.59
"941",1900-02-23,64.52
"942",1900-02-26,63.56
"943",1900-02-27,63.35
"944",1900-02-28,63.96
"945",1900-03-01,63.59
"946",1900-03-02,61.95
"947",1900-03-05,62.12
"948",1900-03-06,61.87
"949",1900-03-07,61.83
"950",1900-03-08,61.39
"951",1900-03-09,61.11
"952",1900-03-12,63.31
"953",1900-03-13,62.88
"954",1900-03-14,62.03
"955",1900-03-15,61.81
"956",1900-03-16,61.91
"957",1900-03-19,62.91
"958",1900-03-20,63.45
"959",1900-03-21,64.08
"960",1900-03-22,64.06
"961",1900-03-23,63.67
"962",1900-03-26,64.06
"963",1900-03-27,64.71
"964",1900-03-28,65.12
"965",1900-03-29,64.07
"966",1900-03-30,65.39
"967",1900-04-02,65.55
"968",1900-04-03,65.17
"969",1900-04-04,65.11
"970",1900-04-05,65.47
"971",1900-04-06,66.15
"972",1900-04-09,65.46
"973",1900-04-10,64.55
"974",1900-04-11,64.78
"975",1900-04-12,64.4
"976",1900-04-16,61.55
"977",1900-04-17,61.8
"978",1900-04-18,61.82
"979",1900-04-19,62.38
"980",1900-04-20,62.2
"981",1900-04-23,61.19
"982",1900-04-24,61.69
"983",1900-04-25,61.89
"984",1900-04-26,63.05
"985",1900-04-27,62.25
"986",1900-04-30,61.33
"987",1900-05-01,61.32
"988",1900-05-02,61.05
"989",1900-05-03,61.02
"990",1900-05-04,61.18
"991",1900-05-07,60.62
"992",1900-05-08,59.26
"993",1900-05-09,59.94
"994",1900-05-10,60.1
"995",1900-05-11,58.62
"996",1900-05-14,57.55
"997",1900-05-15,56.62
"998",1900-05-16,57.12
